Date,Climb,Hold #,Start?,Strength,s1,s2,s3,Up Strength,Right Strength,Down Strength,Left Strength
10/2/25,IR-YL-V0,1,FALSE,7.33,8,9,5,7.33,6,5,6
10/2/25,IR-YL-V0,2,FALSE,6.33,7,7,5,6.33,6,5,6
10/2/25,IR-YL-V0,3,FALSE,6.33,6,7,6,6.33,5,6,6
10/2/25,IR-YL-V0,4,FALSE,7.33,8,9,5,7.33,5,5,5
10/2/25,IR-YL-V0,5,TRUE,8.67,9,9,8,8.67,8,4,5
10/2/25,IR-YL-V0,6,FALSE,9.33,9,10,9,9.33,6,5,6
10/2/25,IR-YL-V0,7,FALSE,8.67,9,9,8,8.67,5,4,5
10/2/25,IR-YL-V0,8,FALSE,7.67,8,8,7,7.67,7,4,4
10/2/25,IR-YL-V0,9,FALSE,8.67,9,9,8,8.67,8,4,4
10/2/25,IR-YL-V0,10,FALSE,6.33,7,6,6,6.33,4,4,6
10/2/25,IR-YL-V0,11,FALSE,8.67,9,9,8,8.67,4,3,4
10/2/25,IR-YL-V0,12,FALSE,7.33,7,7,8,7.33,3,5,3
10/2/25,IR-YL-V0,13,FALSE,6.00,6,5,7,6.00,3,5,3
10/2/25,IR-YL-V0,14,FALSE,7.33,7,7,8,7.33,3,5,3
10/2/25,IR-YL-V0,15,FALSE,8.33,8,9,8,8.33,8,3,4
10/2/25,FR-GR-V0,1,FALSE,6.00,6,7,5,6.00,5,6,5
10/2/25,FR-GR-V0,2,FALSE,5.67,6,5,6,5.67,4,5,4
10/2/25,FR-GR-V0,3,FALSE,6.33,8,5,6,6.33,4,4,4
10/2/25,FR-GR-V0,4,FALSE,4.33,5,4,4,4.33,3,2,3
10/2/25,FR-GR-V0,5,FALSE,6.67,7,7,6,6.67,3,3,3
10/2/25,FR-GR-V0,6,FALSE,6.67,7,7,6,6.67,3,3,3
10/2/25,FR-GR-V0,7,TRUE,9.00,9,9,9,9.00,3,2,3
10/2/25,FR-GR-V0,8,FALSE,4.67,6,5,3,4.67,4,4,4
10/2/25,FR-GR-V0,9,FALSE,5.33,6,6,4,5.33,3,3,5
10/2/25,FR-GR-V0,10,FALSE,9.00,9,9,9,9.00,5,2,5
10/2/25,FR-GR-V0,11,FALSE,9.00,9,9,9,9.00,4,2,4
10/2/25,FR-GR-V0,12,FALSE,8.67,9,8,9,8.67,4,2,8
10/2/25,FR-GR-V0,13,FALSE,4.33,5,5,3,4.33,4,2,4
10/2/25,FR-GR-V0,14,FALSE,6.33,7,7,5,6.33,4,3,4
10/2/25,FR-GR-V0,15,FALSE,8.67,9,8,9,8.67,4,2,4
10/2/25,FR-GR-V0,16,FALSE,8.33,9,8,8,8.33,4,4,8
10/2/25,FR-GR-V0,17,FALSE,5.67,7,6,4,5.67,4,4,4
10/2/25,FR-GR-V0,18,FALSE,8.67,9,9,8,8.67,4,2,4
10/2/25,FR-GR-V0,19,FALSE,6.33,6,5,8,6.33,5,2,2
10/2/25,FR-GR-V0,20,FALSE,8.67,9,8,9,8.67,5,2,5
10/2/25,FR-GR-V0,21,FALSE,9.33,9,9,10,9.33,6,5,6
10/2/25,FR-GR-V0,22,FALSE,3.67,5,4,2,3.67,3,3,3
10/2/25,FR-GR-V0,23,FALSE,8.33,8,9,8,8.33,4,2,4
10/2/25,FR-GR-V0,24,FALSE,8.33,8,9,8,8.33,4,2,4
10/2/25,FR-GR-V0,25,FALSE,8.67,9,9,8,8.67,4,2,8
10/2/25,FR-GR-V0,26,FALSE,8.67,9,9,8,8.67,4,2,5
10/2/25,FR-GR-V0,27,FALSE,8.67,9,9,8,8.67,4,2,5
10/2/25,FR-GR-V0,28,FALSE,9.00,9,9,9,9.00,5,4,5
10/2/25,IR-WH-V1,1,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,2,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,3,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,4,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,5,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,6,TRUE,8.00,8,9,7,8.00,2,2,2
10/2/25,IR-WH-V1,7,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,8,FALSE,7.00,6,8,7,7.00,2,2,2
10/2/25,IR-WH-V1,9,FALSE,3.33,2,5,3,3.33,2,3,2
10/2/25,IR-WH-V1,10,FALSE,9.00,9,9,9,9.00,2,2,2
10/2/25,IR-WH-V1,11,FALSE,3.33,2,5,3,3.33,2,2,2
10/2/25,IR-WH-V1,12,FALSE,3.33,2,5,3,3.33,2,2,2
10/2/25,IR-WH-V1,13,FALSE,8.00,7,9,8,8.00,2,2,8
10/2/25,IR-WH-V1,14,FALSE,8.67,7,9,10,8.67,8,2,2
10/2/25,IR-WH-V1,15,FALSE,7.00,6,8,7,7.00,7,2,2
10/2/25,IR-WH-V1,16,FALSE,7.67,7,8,8,7.67,2,2,2
10/2/25,IR-WH-V1,17,FALSE,8.33,7,9,9,8.33,2,2,2
10/2/25,WW-R-V1,1,FALSE,4.33,5,4,4,4.33,2,4,2
10/2/25,WW-R-V1,2,FALSE,4.33,5,5,3,4.33,4,4,4
10/2/25,WW-R-V1,3,FALSE,4.33,6,4,3,4.33,4,4,4
10/2/25,WW-R-V1,4,TRUE,9.33,10,9,9,9.33,3,9,3
10/2/25,WW-R-V1,5,FALSE,8.00,8,8,8,8.00,3,2,3
10/2/25,WW-R-V1,6,FALSE,3.67,4,4,3,3.67,3,3,3
10/2/25,WW-R-V1,7,FALSE,7.33,8,7,7,7.33,2,4,2
10/2/25,WW-R-V1,8,FALSE,7.33,8,8,6,7.33,3,2,3
